out	Kingdom	Phylum	Class	Order	Family	Genus	Species
a19817c909cd1113639bf9bc884733d2	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales			
c7ffdbb5a5d06115ec6f316189faaab2	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__Pedosphaeraceae	
fbe1a70f1d83ced34020ceccc2803fa9	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Micrococcaceae		
278b1d54649f582cf5480361f5f6ec41	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
f955642dc3d447c0f4372f0b4686fce0	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	
3987d8a61663cef30fb06ba380f007df	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae		
18c9c966f0c2a818dc8a3356199f19ff	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__Flavobacterium_anhuiense
9e911cbef1879f24997b999f4c2201ec	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
9a75fedc27d76250135230ce69e1eba6	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Azospirillales	 f__Azospirillaceae	 g__Azospirillum	
f97181e685b77a17a58fa8f5ba000cc1	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Geobacillus	
fb15881b6b338f294fbf14a2410f6a77	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
8f8e908c0e6a6c0c25d0351f7e3d7fe3	d__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bacteriovoracales	 f__Bacteriovoracaceae	 g__Peredibacter	
d5d30a01ceb95eaea1aa0ad1c6cd5b2b	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Frankiales	 f__Geodermatophilaceae	 g__Geodermatophilus	
4e67ea60f19d5bedbd450bb346a30ba1	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia				
394b957a4d106ef2eff9751d45da65c6	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia				
387e9649707447fdda6c3a523801e886	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
843753cd08f6f4231adfe72c1ec90705	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales			
cf20ffa3b8962d845ccf35fb936e997a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae		
cab3fb4542c505de565d9e3fb430f8c1	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
c1ed7352dbc85362b4ec43ff761de3cc	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Brevundimonas	
6b983434e6113aec095f81e5ba2f19bd	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
3d2a937fc81f755c66e6875d98e593b4	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
2c4ec9c8e15d770cfdaaac24483ddb4e	d__Bacteria	 p__Armatimonadota	 c__Fimbriimonadia	 o__Fimbriimonadales	 f__Fimbriimonadaceae		
038534280d38e9b106f3159acbde5e1b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae		
d2ecc8620449f64226e6b2a7613cc847	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Planococcaceae		
069476081ffa675d98feb2ca1903cd78	d__Bacteria	 p__Chloroflexi	 c__TK10	 o__TK10	 f__TK10	 g__TK10	
9065e7e262a0e44996a32cd9199afeda	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
65065769166bb6e55c6d9db46dfa6564	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
8ac17ed33199b68986e469195040bc81	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae		
10db68c0c2419b3696fd5e86d046c962	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
e06765e6d9b014af70a33f6e47d13854	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales			
eacf27f0514498f7a081c072b4207976	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
7c313ab812fc87168f487f89622067a5	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae	 g__Pseudolabrys	
de57027711325c52ef2c431edf6640c2	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	
db25257684c793fdf30b38c3bafd6e4a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae		
4166e61450710cc9ded6f52594d976a2	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Devosiaceae	 g__Devosia	 s__uncultured_Caulobacteraceae
859ea8ccf479984821a8d6e479b38581	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
e00340f5dbc6f8447e83c5eae5b1ea77	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
ee4b1af0875a145d0c054149c55cfccf	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micropepsales	 f__Micropepsaceae	 g__uncultured	
e0087fec173a84a95540b44281c6ec0b	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae	 g__JCM_18997	
c84aebd095efb5642a9d92d9a7c54027	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__uncultured	
3b72f1993cd86f276e3210a2c22fb411	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
576fa8542d4e815ea8bd04776aa8a33f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Oceanospirillales	 f__Halomonadaceae		
f15e19ffd1264883e4de7e245e5b6326	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Salinisphaerales	 f__Solimonadaceae		
3df926e82757e5c88b265027df42f74c	d__Bacteria	 p__Firmicutes	 c__Bacilli				
b6867247ebc0b230bf4b12770314ed43	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Methylophilaceae		
